Index	Text	POS Modified
72	.	.
73	Turn	VB
74	over	RP
75	when	CS
76	bubbles	NN2
77	appear	VBP
78	in	II
79	the	AT
80	center	NN1
81	,	,
82	and	CC
83	cook	VB
84	until	CS
85	golden	JJ
86	on	II
87	the	AT
88	other	JJ
89	side	NN1
90	.	.
91	Serve	VB
92	immediately	RR
93	with	IW
94	pats	NN2
95	of	IO
96	butter	NN1
97	and	CC
98	maple	NN1
99	syrup	NN1
100	.	.
1	Sift	VB
2	the	AT
3	flour	NN1
4	,	,
5	sugar	NN1
6	,	,
7	baking	VBG
8	powder	NN1
9	,	,
10	and	CC
11	salt	NN1
12	into	II
13	a	AT1
14	large	JJ
15	bowl	NN1
16	.	.
17	Whisk	VB
18	the	AT
19	water	NN1
20	and	CC
21	oil	NN1
22	together	RL
23	in	II
24	a	AT1
25	small	JJ
26	bowl	NN1
27	.	.
28	Make	VB
29	a	AT1
30	well	NN1
31	in	II
32	the	AT
33	center	NN1
34	of	IO
35	the	AT
36	dry	JJ
37	ingredients	NN2
38	,	,
39	and	CC
40	pour	VB
41	in	II
42	the	AT
43	wet	JJ
44	.	.
45	Stir	VB
46	just	RR
47	until	CS
48	blended	VBN
49	;	;
50	mixture	NN1
51	will	VM
52	be	VB
53	lumpy	JJ
54	.	.
55	Heat	VB
56	a	AT1
57	lightly	RR
58	oiled	VBN
59	griddle	NN1
60	over	II
61	medium-high	JJ
62	heat	NN1
63	.	.
64	Drop	VV0
65	batter	NN1
66	by	II
67	large	JJ
68	spoonfuls	NN2
69	onto	II
70	the	AT
71	griddle	NN1
72	,	,
73	and	CC
74	cook	VB
75	until	CS
76	bubbles	NN2
77	form	VBP
78	and	CC
79	the	AT
80	edges	NN2
81	are	VBP
82	dry	JJ
83	.	.
84	Flip	VB
85	,	,
86	and	CC
87	cook	VB
88	until	CS
89	browned	VBN
90	on	II
91	the	AT
92	other	JJ
93	side	NN1
94	.	.
95	Repeat	VB
96	with	IW
97	remaining	VBG
98	batter	NN1
99	.	.
1	In	II
2	a	AT1
3	medium	JJ
4	saucepan	NN1
5	,	,
6	combine	VB
7	water	NN1
8	,	,
9	brown	JJ
10	sugar	NN1
11	,	,
12	cinnamon	NN1
13	,	,
14	and	CC
15	syrup	NN1
16	.	.
17	Heat	VB
18	mixture	NN1
19	to	II
20	a	AT1
21	boil	NN1
22	.	.
23	When	CS
24	water	NN1
25	is	VBZ
26	at	II
27	a	AT1
28	boil	NN1
29	,	,
30	reduce	VB
31	heat	NN1
32	and	CC
33	add	VB
34	in	II
35	oats	NN1
36	.	.
37	Cook	VB
38	for	IF
39	about	II
40	minutes	NNT2
41	,	,
42	or	CC
43	until	CS
44	all	DB
45	water	NN1
46	is	VBZ
47	soaked	VBN
48	by	II
49	the	AT
50	oats	NN1
51	.	.
52	Remove	VB
53	from	II
54	heat	NN1
55	,	,
56	stir	VV0
57	in	II
58	apples	NN2
59	and	CC
60	raisins	NN2
61	and	CC
62	serve	VB
63	.	.
1	Beat	VV0
2	egg	NN1
3	in	II
4	a	AT1
5	medium	JJ
6	size	NN1
7	mixing	VBG
8	bowl	NN1
9	.	.
10	Mix	VB
11	egg	NN1
12	and	CC
13	onion	NN1
14	with	IW
15	mashed	VBN
16	potatoes	NN2
17	.	.
18	Add	VB
19	salt	NN1
20	and	CC
21	pepper	NN1
22	.	.
23	Heat	VB
24	olive	JJ
25	oil	NN1
26	in	II
27	a	AT1
28	medium	JJ
29	size	NN1
30	frying	VBG
31	pan	NN1
32	,	,
33	over	II
34	a	AT1
35	medium	JJ
36	heat	NN1
37	.	.
38	Scoop	VB
39	the	AT
40	potato	NN1
41	mixutre	NN1
42	into	II
43	the	AT
44	frying	VBG
45	pan	NN1
46	in	II
47	inch	NNU1
48	circles	NN2
49	,	,
50	pat	VB
51	with	IW
52	a	AT1
53	spatula	JJ
54	to	TO
55	flatten	VB
56	the	AT
57	mounds	NN2
58	to	II
59	approximately	RR
60	/	FO
61	to	II
62	inch	VB
63	thick	JJ
64	.	.
65	Cook	VB
66	until	CS
67	bottom	NN1
68	is	VBZ
69	browned	VBN
70	.	.
71	Flip	VB
72	the	AT
73	patty	NN1
74	over	RP
75	and	CC
76	brown	JJ
77	on	II
78	the	AT
79	other	JJ
80	side	NN1
81	.	.
1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	Grease	VV0
12	a	AT1
13	inch	NNU1
14	round	JJ
15	cake	NN1
16	pan	NN1
17	.	.
18	Combine	VB
19	the	AT
20	rice	NN1
21	flour	NN1
22	,	,
23	tapioca	NN1
24	flour	NN1
25	,	,
26	sugar	NN1
27	,	,
28	baking	VBG
29	soda	NN1
30	,	,
31	baking	VBG
32	powder	NN1
33	,	,
34	and	CC
35	salt	NN1
36	in	II
37	a	AT1
38	large	JJ
39	bowl	NN1
40	.	.
41	In	II
42	a	AT1
43	separate	JJ
44	bowl	NN1
45	,	,
46	whisk	VB
47	together	RL
48	egg	NN1
49	and	CC
50	buttermilk	NN1
51	.	.
52	Make	VB
53	a	AT1
54	well	NN1
55	in	II
56	the	AT
57	center	NN1
58	of	IO
59	the	AT
60	dry	JJ
61	ingredients	NN2
62	and	CC
63	pour	VB
64	in	II
65	the	AT
66	wet	JJ
67	.	.
68	Stir	VB
69	just	RR
70	until	CS
71	the	AT
72	dry	JJ
73	ingredients	NN2
74	are	VBP
75	moistened	VBN
76	.	.
77	Pour	VB
78	into	II
79	the	AT
80	cake	NN1
81	pan	NN1
82	.	.
83	Bake	VB
84	for	IF
85	minutes	NNT2
86	in	II
87	the	AT
88	preheated	JJ
89	oven	NN1
90	,	,
91	or	CC
92	until	CS
93	a	AT1
94	toothpick	NN1
95	inserted	VBN
96	into	II
97	the	AT
98	center	NN1
99	comes	VBZ
100	out	RP
101	clean	JJ
102	.	.
103	Cool	VV0
104	on	II
105	a	AT1
106	wire	NN1
107	rack	NN1
108	,	,
109	for	IF
110	minutes	NNT2
111	before	II
112	removing	VBG
113	from	II
114	the	AT
115	pan	NN1
116	.	.
117	Wrap	VB
118	bread	NN1
119	in	II
120	plastic	NN1
121	wrap	NN1
122	or	CC
123	aluminum	NN1
124	foil	NN1
125	and	CC
126	let	VB
127	stand	VB
128	overnight	RT
129	for	IF
130	the	AT
131	best	JJT
132	flavor	NN1
133	.	.
1	Combine	VB
2	water	NN1
3	,	,
4	applesauce	VV0
5	,	,
6	oats	NN1
7	,	,
8	carrots	NN2
9	,	,
10	pineapple	NN1
11	,	,
12	raisins	NN2
13	,	,
14	sweetener	NN1
15	,	,
16	cinnamon	NN1
17	,	,
18	pumpkin	NN1
19	pie	NN1
20	spice	NN1
21	,	,
22	and	CC
23	salt	NN1
24	in	II
25	the	AT
26	crock	NN1
27	of	IO
28	a	AT1
29	quart	NNU1
30	or	CC
31	larger	JJR
32	slow	JJ
33	cooker	NN1
34	.	.
35	Cook	VB
36	on	II
37	Low	NP1
38	for	IF
39	hours	NNT2
40	.	.
1	Heat	VB
2	a	AT1
3	lightly	RR
4	oiled	VBN
5	griddle	NN1
6	or	CC
7	frying	VBG
8	pan	NN1
9	over	II
10	medium	JJ
11	high	JJ
12	heat	NN1
13	.	.
14	In	II
15	a	AT1
16	large	JJ
17	bowl	NN1
18	,	,
19	combine	VB
20	flour	NN1
21	,	,
22	sugar	NN1
23	,	,
24	baking	VBG
25	powder	NN1
26	and	CC
27	salt	NN1
28	.	.
29	Stir	VB
30	in	II
31	egg	NN1
32	,	,
33	buttermilk	NN1
34	and	CC
35	oil	NN1
36	until	CS
37	mixture	NN1
38	is	VBZ
39	smooth	JJ
40	.	.
41	Pour	VB
42	the	AT
43	batter	NN1
44	by	II
45	spoonfuls	NN2
46	into	II
47	the	AT
48	hot	JJ
49	pan	NN1
50	,	,
51	forming	VBG
52	inch	NNU1
53	circles	NN2
54	.	.
55	When	CS
56	the	AT
57	edges	NN2
58	appear	VBP
59	to	TO
60	harden	VB
61	,	,
62	flip	VB
63	the	AT
64	pancakes	NN2
65	.	.
66	Cook	VB
67	on	II
68	both	DB2
69	sides	NN2
70	until	CS
71	golden	JJ
72	brown	JJ
73	.	.
74	Serve	VB
75	hot	JJ
76	.	.
1	In	II
2	a	AT1
3	pot	NN1
4	,	,
5	cover	VV0
6	potatoes	NN2
7	with	IW
8	water	NN1
9	and	CC
10	bring	VB
11	to	II
12	a	AT1
13	boil	NN1
14	over	II
15	high	JJ
16	heat	NN1
17	.	.
18	Simmer	VB
19	on	II
20	medium-high	JJ
21	heat	NN1
22	until	CS
23	the	AT
24	center	NN1
25	of	IO
26	the	AT
27	potatoes	NN2
28	are	VBP
29	tender	JJ
30	when	CS
31	pricked	VBN
32	with	IW
33	a	AT1
34	fork	NN1
35	,	,
36	about	II
37	minutes	NNT2
38	.	.
39	Turn	VB
40	off	RP
41	heat	NN1
42	.	.
43	Drain	VV0
44	,	,
45	return	VV0
46	potatoes	NN2
47	to	TO
48	pot	VVI
49	and	CC
50	allow	VB
51	to	TO
52	completely	RR
53	dry	VB
54	out	RP
55	over	II
56	remaining	VBG
57	heat	NN1
58	.	.
59	Mash	VV0
60	with	IW
61	a	AT1
62	potato	NN1
63	masher	NN1
64	until	CS
65	smooth	JJ
66	.	.
67	Place	VB
68	warm	JJ
69	mashed	VBN
70	potato	NN1
71	in	II
72	medium	JJ
73	bowl	NN1
74	.	.
75	Stir	VB
76	in	II
77	flour	NN1
78	,	,
79	salt	NN1
80	and	CC
81	melted	VBN
82	butter	NN1
83	.	.
84	Mix	VB
85	lightly	RR
86	until	CS
87	dough	NN1
88	forms	NN2
89	.	.
90	On	II
91	a	AT1
92	well	NN1
93	floured	JJ
94	surface	NN1
95	,	,
96	knead	VV0
97	the	AT
98	dough	NN1
99	lightly	RR
100	.	.
101	The	AT
102	dough	NN1
103	will	VM
104	be	VB
105	sticky	JJ
106	.	.
107	Use	VB
108	a	AT1
109	floured	JJ
110	rolling	JJ
111	pin	NN1
112	to	TO
113	flatten	VB
114	into	II
115	a	AT1
116	inch	NNU1
117	circle	NN1
118	about	II
119	/	FO
120	inch	NNU1
121	thick	JJ
122	.	.
123	Cut	VB
124	into	II
125	quarters	NN2
126	using	VBG
127	a	AT1
128	floured	JJ
129	knife	NN1
130	.	.
131	Sprinkle	VB
132	a	AT1
133	little	JJ
134	flour	NN1
135	into	II
136	the	AT
137	base	NN1
138	of	IO
139	the	AT
140	skillet	NN1
141	and	CC
142	cook	VB
143	the	AT
144	farls	NN2
145	for	IF
146	minutes	NNT2
147	on	II
148	each	DD1
149	side	NN1
150	or	CC
151	until	CS
152	evenly	RR
153	browned	VBN
154	.	.
155	Season	NNT1
156	with	IW
157	a	AT1
158	little	JJ
159	salt	NN1
160	and	CC
161	serve	VB
162	straight	RR21
163	away	RR22
164	.	.
1	Place	VV0
2	bananas	NN2
3	,	,
4	milk	NN1
5	,	,
6	peanut	NN1
7	butter	NN1
8	,	,
9	honey	NN1
10	,	,
11	and	CC
12	ice	NN1
13	cubes	NN2
14	in	II
15	a	AT1
16	blender	NN1
17	;	;
18	blend	VV0
19	until	CS
20	smooth	JJ
21	,	,
22	about	II
23	seconds	NNT2
24	.	.
1	Preheat	VB
2	an	AT1
3	oven	NN1
4	to	II
5	degrees	NN2
6	F	ZZ1
7	(	(
8	degrees	NN2
9	C	ZZ1
10	)	)
11	.	.
12	Line	NN1
13	pie	NN1
14	pan	NN1
15	with	IW
16	pie	NN1
17	crust	NN1
18	,	,
19	and	CC
20	place	VB
21	a	AT1
22	double	JJ
23	layer	NN1
24	of	IO
25	aluminum	NN1
26	foil	NN1
27	over	II
28	the	AT
29	crust	NN1
30	.	.
31	Bake	VB
32	in	II
33	the	AT
34	preheated	JJ
35	oven	NN1
36	for	IF
37	minutes	NNT2
38	,	,
39	and	CC
40	then	RT
41	remove	VB
42	foil	NN1
43	.	.
44	Continue	VB
45	baking	VVG
46	until	II
47	crust	NN1
48	begins	VBZ
49	to	TO
50	set	VB
51	,	,
52	about	RPK
53	to	TO
54	minutes	NNT2
55	;	;
56	remove	VB
57	from	II
58	oven	NN1
59	.	.
60	Reduce	VB
61	oven	NN1
62	temperature	NN1
63	to	II
64	degrees	NN2
65	F	ZZ1
66	(	(
67	degrees	NN2
68	C	ZZ1
69	)	)
70	.	.
71	In	II
72	a	AT1
73	mixing	VBG
74	bowl	NN1
75	,	,
76	beat	VBD
77	eggs	NN2
78	with	IW
79	milk	NN1
80	and	CC
81	flour	NN1
82	.	.
83	Stir	VB
84	in	II
85	onion	NN1
86	,	,
87	mushrooms	NN2
88	,	,
89	spinach	NN1
90	,	,
91	broccoli	NN1
92	,	,
93	and	CC
94	feta	NN1
95	cheese	NN1
96	.	.
97	Season	NNT1
98	with	IW
99	salt	NN1
100	and	CC
101	pepper	NN1
102	.	.
103	Pour	VB
104	mixture	NN1
105	into	II
106	hot	JJ
107	crust	NN1
108	.	.
109	Bake	VB
110	quiche	NN1
111	at	II
112	degrees	NN2
113	F	ZZ1
114	(	(
115	degrees	NN2
116	C	ZZ1
117	)	)
118	for	IF
119	minutes	NNT2
120	to	II
121	one	MC1
122	hour	NNT1
123	.	.
124	Quiche	NN1
125	is	VBZ
126	done	VBN
127	when	CS
128	knife	NN1
129	inserted	VBN
130	in	II
131	center	NN1
132	comes	VBZ
133	out	RP
134	clean	JJ
135	.	.
136	Cover	VV0
137	edges	NN2
138	of	IO
139	crust	NN1
140	with	IW
141	foil	NN1
142	if	CS
143	crusts	NN2
144	begin	VBP
145	to	II
146	brown	JJ
147	too	RG
148	quickly	RR
149	.	.
1	Mix	VB
2	flour	NN1
3	,	,
4	walnuts	NN2
5	,	,
6	sugar	NN1
7	,	,
8	baking	VBG
9	powder	NN1
10	,	,
11	nutmeg	NN1
12	,	,
13	cinnamon	NN1
14	,	,
15	baking	VBG
16	soda	NN1
17	,	,
18	and	CC
19	salt	NN1
20	in	II
21	a	AT1
22	large	JJ
23	bowl	NN1
24	;	;
25	make	VB
26	a	AT1
27	well	NN1
28	in	II
29	the	AT
30	center	NN1
31	.	.
32	Whisk	VB
33	almond	NN1
34	milk	NN1
35	,	,
36	bananas	NN2
37	,	,
38	melted	VBN
39	butter	NN1
40	,	,
41	and	CC
42	vanilla	NN1
43	extract	VV0
44	together	RL
45	in	II
46	a	AT1
47	separate	JJ
48	bowl	NN1
49	until	CS
50	smooth	JJ
51	.	.
52	Whisk	VB
53	in	II
54	egg	NN1
55	.	.
56	Pour	VB
57	mixture	NN1
58	into	II
59	the	AT
60	well	NN1
61	in	II
62	the	AT
63	flour	NN1
64	mixture	NN1
65	;	;
66	stir	VV0
67	until	CS
68	just	RR
69	combined	VBN
70	.	.
71	Heat	VB
72	a	AT1
73	lightly	RR
74	oiled	VBN
75	skillet	NN1
76	over	II
77	medium-high	JJ
78	heat	NN1
79	.	.
80	Drop	VV0
81	/	FO
82	cup	NN1
83	batter	NN1
84	into	II
85	the	AT
86	skillet	NN1
87	;	;
88	tilt	VV0
89	gently	RR
90	to	TO
91	spread	VB
92	batter	NN1
93	evenly	RR
94	.	.
95	Cook	VB
96	until	CS
97	bubbles	NN2
98	form	VBP
99	and	CC
100	the	AT
101	edges	NN2
102	are	VBP
103	firm	JJ
104	,	,
105	to	II
106	minutes	NNT2
107	.	.
108	Flip	VB
109	and	CC
110	cook	VB
111	until	CS
112	browned	VBN
113	on	II
114	the	AT
115	other	JJ
116	side	NN1
117	,	,
118	to	II
119	minutes	NNT2
120	more	RRR
121	.	.
122	Repeat	VB
123	with	IW
124	remaining	VBG
125	batter	NN1
126	.	.
1	Fill	VB
2	a	AT1
3	large	JJ
4	tumbler	NN1
5	with	IW
6	ice	NN1
7	cubes	NN2
8	.	.
9	Pour	VB
10	in	II
11	the	AT
12	vodka	NN1
13	,	,
14	then	RT
15	drop	VB
16	in	II
17	the	AT
18	olives	NN2
19	and	CC
20	the	AT
21	olive	JJ
22	brine	NN1
23	.	.
24	Season	NNT1
25	with	IW
26	celery	NN1
27	salt	NN1
28	,	,
29	pepper	NN1
30	,	,
31	Worcestershire	NP1
32	sauce	NN1
33	and	CC
34	hot	JJ
35	pepper	NN1
36	sauce	NN1
37	.	.
38	Fill	VB
39	the	AT
40	remainder	NN1
41	of	IO
42	the	AT
43	glass	NN1
44	with	IW
45	tomato	NN1
46	and	CC
47	clam	VV0
48	juice	NN1
49	cocktail	NN1
50	.	.
51	Stir	VB
52	with	IW
53	the	AT
54	celery	NN1
55	stalk	NN1
56	and	CC
57	leave	VB
58	it	PPH1
59	in	RP
60	as	II
61	a	AT1
62	garnish	NN1
63	.	.
64	Sprinkle	VB
65	with	IW
66	a	AT1
67	little	JJ
68	bit	NN1
69	of	IO
70	celery	NN1
71	salt	NN1
72	before	II
73	serving	VBG
74	.	.
1	Heat	VV0
2	olive	JJ
3	oil	NN1
4	in	II
5	a	AT1
6	skillet	NN1
7	over	II
8	medium	JJ
9	heat	NN1
10	.	.
11	Cook	VB
12	and	CC
13	stir	VB
14	red	JJ
15	pepper	NN1
16	and	CC
17	onion	NN1
18	in	II
19	hot	JJ
20	oil	NN1
21	until	CS
22	tender	JJ
23	,	,
24	about	II
25	minutes	NNT2
26	.	.
27	Beat	VV0
28	eggs	NN2
29	and	CC
30	milk	NN1
31	together	RL
32	in	II
33	a	AT1
34	bowl	NN1
35	until	CS
36	smooth	JJ
37	;	;
38	add	VB
39	spinach	NN1
40	,	,
41	ham	NN1
42	,	,
43	mozzarella	NN1
44	cheese	NN1
45	,	,
46	feta	NN1
47	cheese	NN1
48	,	,
49	salt	NN1
50	,	,
51	and	CC
52	black	JJ
53	pepper	NN1
54	.	.
55	Gently	RR
56	stir	VB
57	to	TO
58	mix	VB
59	evenly	RR
60	;	;
61	pour	VB
62	into	II
63	the	AT
64	skillet	NN1
65	.	.
66	Place	VB
67	a	AT1
68	cover	NN1
69	on	II
70	the	AT
71	skillet	NN1
72	and	CC
73	cook	VB
74	until	CS
75	the	AT
76	egg	NN1
77	mixture	NN1
78	is	VBZ
79	completely	RR
80	set	VBN
81	in	II
82	the	AT
83	center	NN1
84	,	,
85	to	II
86	minutes	NNT2
87	.	.
88	Cut	VB
89	into	II
90	wedges	NN2
91	to	TO
92	serve	VB
93	.	.
1	In	II
2	a	AT1
3	large	JJ
4	bowl	NN1
5	,	,
6	stir	VB
7	together	RL
8	the	AT
9	flour	NN1
10	,	,
11	baking	VBG
12	powder	NN1
13	,	,
14	salt	NN1
15	and	CC
16	cinnamon	NN1
17	.	.
18	Pour	VB
19	in	II
20	the	AT
21	milk	NN1
22	,	,
23	eggs	NN2
24	and	CC
25	oil	NN1
26	;	;
27	stir	VV0
28	just	RR
29	until	CS
30	smooth	JJ
31	.	.
32	Mix	VB
33	in	II
34	the	AT
35	apple	NN1
36	.	.
37	Heat	VB
38	a	AT1
39	large	JJ
40	skillet	NN1
41	or	CC
42	griddle	VV0
43	over	RP
44	medium	JJ
45	heat	NN1
46	.	.
47	Coat	VB
48	with	IW
49	cooking	VVG
50	spray	NN1
51	.	.
52	Drop	VV0
53	batter	NN1
54	by	II
55	large	JJ
56	spoonfuls	NN2
57	onto	II
58	the	AT
59	griddle	NN1
60	and	CC
61	cook	VB
62	until	CS
63	bubbles	NN2
64	form	VBP
65	and	CC
66	the	AT
67	edges	NN2
68	are	VBP
69	dry	JJ
70	.	.
71	Flip	VB
72	and	CC
73	cook	VB
74	until	CS
75	browned	VBN
76	on	II
77	the	AT
78	other	JJ
79	side	NN1
80	.	.
81	To	TO
82	make	VB
83	the	AT
84	glaze	NN1
85	,	,
86	heat	VBP
87	the	AT
88	butter	NN1
89	in	II
90	a	AT1
91	heavy	JJ
92	saucepan	NN1
93	over	II
94	medium	JJ
95	heat	NN1
96	.	.
97	Stir	VB
98	in	II
99	the	AT
100	molasses	NN1
101	,	,
102	brown	JJ
103	sugar	NN1
104	and	CC
105	vanilla	NN1
106	.	.
107	Serve	VB
108	warm	JJ
109	spooned	VBD
110	over	RP
111	pancakes	NN2
112	.	.
1	Combine	VB
2	oats	NN1
3	,	,
4	flour	NN1
5	,	,
6	baking	VBG
7	soda	NN1
8	,	,
9	sugar	NN1
10	,	,
11	and	CC
12	salt	NN1
13	in	II
14	a	AT1
15	large	JJ
16	bowl	NN1
17	.	.
18	Set	VBN
19	bowl	NN1
20	aside	RL
21	.	.
22	In	II
23	a	AT1
24	separate	JJ
25	bowl	NN1
26	,	,
27	whisk	VB
28	together	RL
29	the	AT
30	skim	NN1
31	milk	NN1
32	,	,
33	eggs	NN2
34	,	,
35	peanut	NN1
36	butter	NN1
37	,	,
38	and	CC
39	melted	VBN
40	butter	NN1
41	.	.
42	Make	VB
43	a	AT1
44	well	NN1
45	in	II
46	the	AT
47	center	NN1
48	of	IO
49	the	AT
50	dry	JJ
51	ingredients	NN2
52	and	CC
53	stir	VV0
54	in	II
55	the	AT
56	wet	JJ
57	ingredients	NN2
58	,	,
59	being	VBG
60	careful	JJ
61	not	XX
62	to	TO
63	over	RP
64	mix	VB
65	the	AT
66	batter	NN1
67	.	.
68	Heat	VB
69	a	AT1
70	large	JJ
71	skillet	NN1
72	over	II
73	medium	JJ
74	heat	NN1
75	,	,
76	and	CC
77	coat	NN1
78	with	IW
79	cooking	VVG
80	spray	NN1
81	.	.
82	Pour	VB
83	/	FO
84	cupfuls	NN2
85	of	IO
86	batter	NN1
87	onto	II
88	the	AT
89	skillet	NN1
90	,	,
91	and	CC
92	cook	VB
93	until	CS
94	bubbles	NN2
95	appear	VBP
96	on	II
97	the	AT
98	surface	NN1
99	.	.
100	Flip	VB
101	with	IW
102	a	AT1
103	spatula	NN1
104	,	,
105	and	CC
106	cook	VB
107	until	CS
108	browned	VBN
109	on	II
110	the	AT
111	other	JJ
112	side	NN1
113	,	,
114	about	II
115	minutes	NNT2
116	per	II
117	side	NN1
118	.	.
119	Serve	VB
120	with	IW
121	strawberry	NN1
122	jam	NN1
123	.	.
1	Preheat	VV0
2	oven	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	In	II
12	a	AT1
13	medium	JJ
14	bowl	NN1
15	,	,
16	beat	VBN
17	together	RL
18	eggs	NN2
19	,	,
20	mayonnaise	VV0
21	,	,
22	flour	NN1
23	,	,
24	and	CC
25	milk	NN1
26	until	CS
27	thoroughly	RR
28	blended	VBN
29	.	.
30	Stir	VB
31	in	II
32	crab	NN1
33	,	,
34	cheese	NN1
35	,	,
36	and	CC
37	onion	NN1
38	.	.
39	Spread	VV0
40	into	II
41	pie	NN1
42	shell	NN1
43	.	.
44	Bake	VB
45	for	IF
46	to	II
47	minutes	NNT2
48	,	,
49	or	CC
50	until	CS
51	a	AT1
52	knife	NN1
53	inserted	VBN
54	in	II
55	the	AT
56	center	NN1
57	comes	VBZ
58	out	RP
59	clean	JJ
60	.	.
1	In	II
2	a	AT1
3	medium	JJ
4	bowl	NN1
5	,	,
6	mix	VB
7	the	AT
8	butter	NN1
9	,	,
10	molasses	NN1
11	and	CC
12	egg	NN1
13	substitute	NN1
14	with	IW
15	an	AT1
16	electric	JJ
17	mixer	NN1
18	until	CS
19	smooth	JJ
20	.	.
21	In	II
22	a	AT1
23	separate	JJ
24	bowl	NN1
25	,	,
26	stir	VB
27	together	RL
28	the	AT
29	Kamut	NN1
30	flour	NN1
31	,	,
32	whole	JJ
33	wheat	NN1
34	flour	NN1
35	,	,
36	baking	VBG
37	powder	NN1
38	,	,
39	baking	VBG
40	soda	NN1
41	,	,
42	salt	NN1
43	,	,
44	ginger	NN1
45	,	,
46	cinnamon	NN1
47	and	CC
48	cloves	NN2
49	.	.
50	Stir	VB
51	the	AT
52	dry	JJ
53	ingredients	NN2
54	into	II
55	the	AT
56	molasses	NN1
57	mixture	NN1
58	alternating	VBG
59	with	IW
60	the	AT
61	water	NN1
62	,	,
63	beginning	VBG
64	and	CC
65	ending	VBG
66	with	IW
67	the	AT
68	flour	NN1
69	,	,
70	stir	VV0
71	just	RR
72	until	CS
73	blended	VBN
74	.	.
75	Preheat	VB
76	the	AT
77	waffle	NN1
78	iron	NN1
79	,	,
80	and	CC
81	coat	NN1
82	with	IW
83	cooking	VVG
84	spray	NN1
85	.	.
86	Spoon	VB
87	the	AT
88	desired	VBN
89	amount	NN1
90	of	IO
91	batter	NN1
92	onto	II
93	the	AT
94	hot	JJ
95	iron	NN1
96	,	,
97	and	CC
98	cook	VB
99	until	CS
100	steam	NN1
101	stops	VBZ
102	coming	VBG
103	out	RP
104	,	,
105	and	CC
106	waffles	NN2
107	do	VD0
108	nt	XX
109	stick	VBP
110	to	II
111	the	AT
112	iron	NN1
113	.	.
114	Continue	VB
115	with	IW
116	remaining	VBG
117	batter	NN1
118	.	.
1	Preheat	VV0
2	griddle	NN1
3	to	II
4	degrees	NN2
5	F	ZZ1
6	(	(
7	degrees	NN2
8	C	ZZ1
9	)	)
10	.	.
11	Mix	VB
12	whole	JJ
13	wheat	NN1
14	flour	NN1
15	,	,
16	almond	NN1
17	meal	NN1
18	,	,
19	oats	NN1
20	,	,
21	baking	VBG
22	powder	NN1
23	,	,
24	and	CC
25	salt	NN1
26	in	II
27	a	AT1
28	bowl	NN1
29	.	.
30	Beat	VV0
31	an	AT1
32	egg	NN1
33	in	II
34	a	AT1
35	separate	JJ
36	bowl	NN1
37	.	.
38	Beat	VV0
39	milk	NN1
40	,	,
41	banana	NN1
42	,	,
43	and	CC
44	canola	NN1
45	oil	NN1
46	into	II
47	the	AT
48	beaten	VBN
49	egg	NN1
50	;	;
51	pour	VB
52	into	II
53	flour	NN1
54	mixture	NN1
55	and	CC
56	stir	VV0
57	until	CS
58	just	RR
59	combined	VBN
60	into	II
61	a	AT1
62	lumpy	JJ
63	batter	NN1
64	.	.
65	Pour	VB
66	batter	NN1
67	/	FO
68	cupful	JJ
69	at	II
70	a	AT1
71	time	NNT1
72	onto	II
73	the	AT
74	hot	JJ
75	griddle	NN1
76	;	;
77	cook	VB
78	until	CS
79	edges	NN2
80	become	VBP
81	crisp	JJ
82	and	CC
83	bubbles	NN2
84	have	VBP
85	formed	VBN
86	on	II
87	the	AT
88	top	NN1
89	,	,
90	to	II
91	minutes	NNT2
92	.	.
93	Flip	VB
94	the	AT
95	pancakes	NN2
96	and	CC
97	continue	VB
98	cooking	VBG
99	until	CS
100	the	AT
101	bottom	NN1
102	of	IO
103	the	AT
104	pancakes	NN2
105	are	VBP
106	browned	VBN
107	,	,
108	to	II
109	minutes	NNT2
110	more	RRR
111	.	.
1	Preheat	VB
2	a	AT1
3	lightly	RR
4	oiled	VBN
5	griddle	NN1
6	over	II
7	medium	JJ
8	heat	NN1
9	.	.
10	In	II
11	a	AT1
12	large	JJ
13	bowl	NN1
14	,	,
15	sift	VB
16	together	RL
17	flour	NN1
18	,	,
19	sugar	NN1
20	,	,
21	baking	VBG
22	powder	NN1
23	,	,
24	baking	VBG
25	soda	NN1
26	,	,
27	and	CC
28	salt	NN1
29	.	.
30	In	II
31	a	AT1
32	small	JJ
33	bowl	NN1
34	,	,
35	beat	VBN
36	together	RL
37	egg	NN1
38	,	,
39	orange	NN1
40	juice	NN1
41	,	,
42	buttermilk	VV0
43	,	,
44	and	CC
45	canola	NN1
46	oil	NN1
47	.	.
48	Whisk	VB
49	into	II
50	the	AT
51	flour	NN1
52	mixture	NN1
53	.	.
54	Stir	VB
55	in	II
56	pineapple	NN1
57	.	.
58	Pour	VB
59	batter	NN1
60	about	II
61	/	FO
62	cup	NN1
63	at	II
64	a	AT1
65	time	NNT1
66	onto	II
67	the	AT
68	prepared	JJ
69	griddle	NN1
70	.	.
71	Cook	VB
72	to	II
73	minutes	NNT2
