Index	Text	Lemma	POS	Semantics
65	minutes	minute	NNT2	['T1.3', 'Q1.2']
66	before	before	II	['Z5']
67	serving	serve	VBG	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
68	.	.	.	['PUNCT']
1	Combine	Combine	VB	['T1.3']
2	rhubarb	rhubarb	NN1	['T1.3']
3	,	,	,	['PUNCT']
4	apples	apple	NN2	['L3', 'F1']
5	,	,	,	['PUNCT']
6	/	/	FO	['Z99']
7	cup	cup	NN1	['Z1mf', 'Z3c']
8	white	white	JJ	['Z1mf', 'Z3c']
9	sugar	sugar	NN1	['Z1mf', 'Z3c']
10	,	,	,	['PUNCT']
11	and	and	CC	['Z5']
12	water	water	NN1	['O1.2', 'W3/M4', 'B1', 'C1%']
13	together	together	RL	['S5+', 'T1.1.2', 'M6']
14	in	in	II	['Z5']
15	a	a	AT1	['Z5']
16	saucepan	saucepan	NN1	['O2']
17	;	;	;	['PUNCT']
18	bring	bring	VB	['M2', 'A2.2']
19	to	to	II	['Z5']
20	a	a	AT1	['Z5']
21	boil	boil	NN1	['B2-', 'O4.6+@']
22	.	.	.	['PUNCT']
23	Cook	cook	VB	['F1']
24	and	and	CC	['Z5']
25	stir	stir	VB	['A1.1.1', 'M1']
26	rhubarb	rhubarb	NN1	['L3', 'F1', 'Z4']
27	mixture	mixture	NN1	['O1.1', 'A6.3+']
28	until	until	CS	['Z5']
29	rhubarb	rhubarb	NN1	['L3', 'F1', 'Z4']
30	is	be	VBZ	['A3+', 'Z5']
31	tender	tender	JJ	['E2+', 'T3-', 'O4.5', 'B2-']
32	and	and	CC	['Z5']
33	compote	compote	NN1	['Z99']
34	is	be	VBZ	['A3+', 'Z5']
35	thickened	thicken	VBN	['O4.5', 'N5+']
36	,	,	,	['PUNCT']
37	about	about	II	['Z5']
38	minutes	minute	NNT2	['T1.3', 'Q1.2']
39	.	.	.	['PUNCT']
40	Preheat	preheat	VV0	['Z99']
41	oven	oven	NN1	['O2/F1']
42	to	to	II	['Z5']
43	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
44	F	F	ZZ1	['Z5']
45	(	(	(	['PUNCT']
46	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
47	C	C	ZZ1	['Z5', 'K2', 'P1/A5.1', 'Y2', 'O4.6']
48	)	)	)	['PUNCT']
49	.	.	.	['PUNCT']
50	Grease	grease	VV0	['A1.1.1', 'F1']
51	an	an	AT1	['Z5']
52	inch	inch	NNU1	['N3.7']
53	square	square	JJ	['O4.4']
54	baking	baking	NN1	['F1/O2']
55	dish	dish	NN1	['F1/O2']
56	.	.	.	['PUNCT']
57	Mix	Mix	VB	['A2.1+', 'S1.1.3+', 'K3']
58	/	/	FO	['Z99']
59	cup	cup	NN1	['Z1mf', 'Z3c']
60	white	white	JJ	['Z1mf', 'Z3c']
61	sugar	sugar	NN1	['Z1mf', 'Z3c']
62	,	,	,	['PUNCT']
63	/	/	FO	['Z99']
64	cup	cup	NN1	['Z1mf', 'Z3c']
65	margarine	margarine	NN1	['Z1mf', 'Z3c']
66	,	,	,	['PUNCT']
67	egg	egg	NN1	['L2', 'F1']
68	,	,	,	['PUNCT']
69	and	and	CC	['Z5']
70	vanilla	vanilla	NN1	['O4.3', 'F1']
71	extract	extract	VV0	['M2', 'A9+']
72	together	together	RL	['S5+', 'T1.1.2', 'M6']
73	in	in	II	['Z5']
74	a	a	AT1	['Z5']
75	bowl	bowl	NN1	['O2']
76	.	.	.	['PUNCT']
77	Stir	stir	VB	['A1.1.1', 'M1']
78	milk	milk	NN1	['F2', 'O1.2']
79	and	and	CC	['Z5']
80	stir	stir	VV0	['A1.1.1', 'M1']
81	into	into	II	['Z5']
82	the	the	AT	['Z5']
83	sugar	sugar	NN1	['F1']
84	mixture	mixture	NN1	['O1.1', 'A6.3+']
85	.	.	.	['PUNCT']
86	Whisk	whisk	VB	['O2']
87	flour	flour	NN1	['F1']
88	,	,	,	['PUNCT']
89	baking	bake	VBG	['F1']
90	powder	powder	NN1	['F1']
91	,	,	,	['PUNCT']
92	and	and	CC	['Z5']
93	salt	salt	NN1	['F1']
94	together	together	RL	['S5+', 'T1.1.2', 'M6']
95	in	in	II	['Z5']
96	a	a	AT1	['Z5']
97	separate	separate	JJ	['A6.1-']
98	bowl	bowl	NN1	['O2']
99	.	.	.	['PUNCT']
100	Mix	mix	VB	['A2.1+', 'S1.1.3+', 'K3']
101	flour	flour	NN1	['F1']
102	mixture	mixture	NN1	['O1.1', 'A6.3+']
103	into	into	II	['Z5']
104	wet	wet	JJ	['O1.2', 'W4', 'X5.2-']
105	mixture	mixture	NN1	['O1.1', 'A6.3+']
106	until	until	CS	['Z5']
107	batter	batter	NN1	['F1']
108	is	be	VBZ	['A3+', 'Z5']
109	just	just	RR	['A14', 'T3---', 'T1.3-', 'N3.3---']
110	moistened	moisten	VBN	['O4.1/O1.2']
111	;	;	;	['PUNCT']
112	pour	pour	VB	['A1.1.1/O1.2', 'W4', 'M1/N5+']
113	into	into	II	['Z5']
114	the	the	AT	['Z5']
115	prepared	prepared	JJ	['X7+', 'O4.1']
116	baking	baking	NN1	['F1/O2']
117	dish	dish	NN1	['F1/O2']
118	.	.	.	['PUNCT']
119	Spoon	spoon	VB	['A1.1.1']
120	enough	enough	DD	['N5+', 'N6+', 'A13.3']
121	compote	compote	NN1	['Z99']
122	over	over	II	['Z5']
123	cake	cake	NN1	['F1', 'I1.1']
124	to	to	TO	['Z5']
125	make	make	VB	['A1.1.1', 'A9+', 'A2.2', 'S6+', 'A3+', 'A9-', 'X9.2+', 'X6+']
126	about	about	II	['Z5']
127	/	/	FO	['PUNCT']
128	inch-thick	inch thick	JJ	['N3.7', 'N3.7+', 'N3.2+', 'N5+', 'X9.1-', 'O4.5', 'A10-', 'A11.2+', 'O4.3@', 'O4.2-@']
131	layer	layer	NN1	['O2', 'A4.1']
132	,	,	,	['PUNCT']
133	reserving	reserve	VBG	['A9+']
134	any	any	DD	['N5.1+', 'N5']
135	leftover	leftover	JJ	['F1', 'N5.2+/A1.5.1-']
136	compote	compote	NN1	['Z99']
137	for	for	IF	['Z5']
138	another	another	DD1	['A6.1-', 'N5++']
139	use	use	NN1	['A1.5.1']
140	.	.	.	['PUNCT']
141	Stir	stir	VB	['A1.1.1', 'M1']
142	oats	oat	NN1	['F1', 'L3', 'S3.2%']
143	,	,	,	['PUNCT']
144	/	/	FO	['Z99']
145	cup	cup	NN1	['Z1mf', 'Z3c']
146	margarine	margarine	NN1	['Z1mf', 'Z3c']
147	,	,	,	['PUNCT']
148	/	/	FO	['Z99']
149	cup	cup	NN1	['Z1mf', 'Z3c']
150	white	white	JJ	['Z1mf', 'Z3c']
151	sugar	sugar	NN1	['Z1mf', 'Z3c']
152	,	,	,	['PUNCT']
153	and	and	CC	['Z5']
154	cinnamon	cinnamon	NN1	['F1']
155	together	together	RL	['S5+', 'T1.1.2', 'M6']
156	in	in	II	['Z5']
157	a	a	AT1	['Z5']
158	bowl	bowl	NN1	['O2']
159	until	until	CS	['Z5']
160	crumbly	crumbly	JJ	['O4.1']
161	;	;	;	['PUNCT']
162	sprinkle	sprinkle	VB	['A1.1.1']
163	over	over	RP	['Z5']
164	compote	compote	NN1	['Z99']
165	layer	layer	NN1	['O2', 'A4.1']
166	.	.	.	['PUNCT']
167	Bake	Bake	VB	['F1', 'O4.6']
168	in	in	II	['Z5']
169	the	the	AT	['Z5']
170	preheated	preheated	JJ	['N4/O4.6+']
171	oven	oven	NN1	['O2/F1']
172	until	until	CS	['Z5']
173	a	a	AT1	['Z5']
174	toothpick	toothpick	NN1	['B4']
175	inserted	insert	VBN	['A1.1.1']
176	in	in	II	['Z5']
177	the	the	AT	['Z5']
178	middle	middle	NN1	['Df/A5.1+++mfnc']
179	of	of	IO	['Df/A5.1+++mfnc']
180	the	the	AT	['Df/A5.1+++mfnc']
181	cake	cake	NN1	['Df/A5.1+++mfnc']
182	comes	come	VBZ	['M1', 'N3.1', 'A2.2', 'A3+', 'X2.1', 'A9+', 'S4', 'N4', 'S3.2']
183	out	out	RP	['Z5']
184	clean	clean	JJ	['O4.2+', 'G2.2+']
185	,	,	,	['PUNCT']
186	to	to	II	['Z5']
187	minutes	minute	NNT2	['T1.3', 'Q1.2']
188	.	.	.	['PUNCT']
1	Preheat	preheat	VV0	['Z99']
2	oven	oven	NN1	['O2/F1']
3	to	to	II	['Z5']
4	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
5	F	F	ZZ1	['Z5']
6	(	(	(	['PUNCT']
7	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
8	C	C	ZZ1	['Z5', 'K2', 'P1/A5.1', 'Y2', 'O4.6']
9	)	)	)	['PUNCT']
10	.	.	.	['PUNCT']
11	Grease	grease	NN1	['T1.3']
12	and	and	CC	['T1.3']
13	flour	flour	NN1	['T1.3']
14	an	an	AT1	['Z5']
15	inch	inch	NNU1	['N3.7']
16	pan	pan	NN1	['O2']
17	.	.	.	['PUNCT']
18	In	in	II	['Z5']
19	a	a	AT1	['Z5']
20	medium	medium	JJ	['N3.2', 'N3.1']
21	bowl	bowl	NN1	['O2']
22	,	,	,	['PUNCT']
23	beat	beat	VBN	['X9.2+/S7.3', 'X9.2+/G3', 'S7.1+', 'E3-', 'A1.1.1', 'A5.1++', 'B1']
24	together	together	RL	['S5+', 'T1.1.2', 'M6']
25	the	the	AT	['Z5']
26	eggs	egg	NN2	['T1.3']
27	and	and	CC	['T1.3']
28	cup	cup	NN1	['T1.3']
29	of	of	IO	['Z5']
30	sugar	sugar	NN1	['F1']
31	.	.	.	['PUNCT']
32	Combine	combine	VB	['A2.2', 'A1.8+', 'S5+c', 'F4']
33	the	the	AT	['Z5']
34	flour	flour	NN1	['F1']
35	,	,	,	['PUNCT']
36	baking	bake	VBG	['O4.6+', 'F1']
37	powder	powder	NN1	['T1.3']
38	and	and	CC	['T1.3']
39	salt	salt	NN1	['T1.3']
40	,	,	,	['PUNCT']
41	stir	stir	VV0	['A1.1.1', 'M1']
42	into	into	II	['Z5']
43	the	the	AT	['Z5']
44	egg	egg	NN1	['L2', 'F1']
45	mixture	mixture	NN1	['O1.1', 'A6.3+']
46	.	.	.	['PUNCT']
47	Then	then	RT	['N4', 'Z5', 'T1.2']
48	,	,	,	['PUNCT']
49	stir	stir	VV0	['A1.1.1', 'M1']
50	in	in	II	['Z5']
51	the	the	AT	['Z5']
52	dates	date	NN2	['T1.2', 'S3.2', 'S3.2/S2mf']
53	,	,	,	['PUNCT']
54	walnuts	walnut	NN2	['T1.3']
55	and	and	CC	['T1.3']
56	vanilla	vanilla	NN1	['T1.3']
57	.	.	.	['PUNCT']
58	Pour	pour	VB	['A1.1.1/O1.2', 'W4', 'M1/N5+']
59	into	into	II	['Z5']
60	the	the	AT	['Z5']
61	prepared	prepared	JJ	['X7+', 'O4.1']
62	pan	pan	NN1	['O2']
63	.	.	.	['PUNCT']
64	Bake	bake	VB	['F1', 'O4.6']
65	for	for	IF	['Z5']
66	to	to	II	['Z5']
67	minutes	minute	NNT2	['T1.3', 'Q1.2']
68	in	in	II	['Z5']
69	the	the	AT	['Z5']
70	preheated	preheated	JJ	['T1.3']
71	oven	oven	NN1	['T1.3']
72	.	.	.	['PUNCT']
73	Cool	cool	VV0	['O4.6-/A2.1', 'X5.2-/A2.1']
74	on	on	II	['Z5']
75	the	the	AT	['Z5']
76	pan	pan	NN1	['O2']
77	on	on	II	['Z5']
78	a	a	AT1	['Z5']
79	wire	wire	NN1	['O2', 'O3', 'Q1.3']
80	rack	rack	NN1	['O2', 'G2.1/O2', 'F1']
81	.	.	.	['PUNCT']
82	When	when	CS	['Z5']
83	the	the	AT	['Z5']
84	cake	cake	NN1	['F1', 'I1.1']
85	is	be	VBZ	['A3+', 'Z5']
86	cooled	cool	VBN	['O4.6-/A2.1', 'X5.2-/A2.1']
87	,	,	,	['PUNCT']
88	break	break	VB	['A1.1.2', 'A1.1.1', 'A1.9', 'S5-', 'T2-', 'E4.1-/A2.2', 'A2.1+', 'T1.3', 'Q2.1@']
89	into	into	II	['Z5']
90	bite	bite	NN1	['B1', 'F1', 'X3.1', 'N5+']
91	sized	sized	JJ	['N3.2', 'N5', 'N3.1']
92	pieces	piece	NN2	['N5.1-', 'O2', 'Q4', 'K2', 'K4', 'G3@']
93	.	.	.	['PUNCT']
94	Stir	stir	VB	['A1.1.1', 'M1']
95	the	the	AT	['Z5']
96	cake	cake	NN1	['F1', 'I1.1']
97	pieces	piece	NN2	['N5.1-', 'O2', 'Q4', 'K2', 'K4', 'G3@']
98	together	together	RL	['S5+', 'T1.1.2', 'M6']
99	with	with	IW	['Z5']
100	the	the	AT	['Z5']
101	oranges	orange	NN2	['F1', 'O4.3']
102	,	,	,	['PUNCT']
103	bananas	banana	NN2	['F1']
104	and	and	CC	['Z5']
105	remaining	remain	VBG	['T2++', 'M8', 'N5.2+']
106	sugar	sugar	NN1	['F1']
107	.	.	.	['PUNCT']
108	Press	press	VB	['A1.1.1', 'X8+', 'S7.1+', 'E6-']
109	into	into	II	['Z5']
110	a	a	AT1	['Z5']
111	medium	medium	JJ	['N3.2']
112	sized	sized	JJ	['N3.2']
113	bowl	bowl	NN1	['T1.3']
114	and	and	CC	['T1.3']
115	chill	chill	NN1	['T1.3']
116	for	for	IF	['Z5']
117	several	several	DA2	['N5']
118	hours	hour	NNT2	['T1.3']
119	.	.	.	['PUNCT']
120	Invert	invert	VV0	['A1.1.1']
121	cake	cake	NN1	['O4.1']
122	onto	onto	II	['Z5']
123	a	a	AT1	['Z5']
124	serving	serve	VBG	['S8+', 'S7.1-', 'I2.2', 'A9-', 'F1', 'A1.1.1', 'I3.1', 'K5.1', 'G2.1']
125	plate	plate	NN1	['O2', 'C1', 'B3']
126	.	.	.	['PUNCT']
127	Whip	whip	VV0	['E3-', 'M2', 'M1/N3.8+', 'A1.1.1', 'A2.2', 'A9-']
128	the	the	AT	['Z5']
129	heavy	heavy	JJ	['N3.5+', 'S1.2.5+', 'N5+', 'O4.1', 'E4.1-', 'W4', 'A12-', 'A1.1.1', 'N3.2+', 'A1.1.2@']
130	cream	cream	NN1	['F1', 'B3', 'O1.2', 'O4.3', 'A5.1+++']
131	with	with	IW	['Z5']
132	the	the	AT	['Z5']
133	confectioners	confectioner	NN2	['F1/S2mf']
134	sugar	sugar	NN1	['T1.3']
135	and	and	CC	['T1.3']
136	vanilla	vanilla	NN1	['T1.3']
137	until	until	CS	['Z5']
138	stiff	stiff	JJ	['O4.5', 'O4.1', 'B2-', 'S1.2.1-', 'A12-', 'E3-']
139	.	.	.	['PUNCT']
140	Spread	spread	VV0	['A1.1.1', 'N3.6+/A2.1', 'N3.3+/A2.1', 'N5+/A2.1', 'N5', 'T1.3']
141	over	over	RP	['Z5']
142	the	the	AT	['Z5']
143	entire	entire	JJ	['N5.1+']
144	cake	cake	NN1	['F1', 'I1.1']
145	.	.	.	['PUNCT']
1	Line	line	VV0	['A1.1.1']
2	an	an	AT1	['Z5']
3	angel	angel	NN1	['S9mf', 'O4.2+/S2mf']
4	food	food	NN1	['F1']
5	pan	pan	NN1	['O2']
6	with	with	IW	['Z5']
7	parchment	parchment	NN1	['Z99']
8	paper	paper	NN1	['T1.3']
9	and	and	CC	['T1.3']
10	brush	brush	VV0	['T1.3']
11	with	with	IW	['Z5']
12	melted	melted	VBN	['O4.6+']
13	butter	butter	NN1	['F1']
14	.	.	.	['PUNCT']
15	Cream	cream	NN1	['F1', 'B3', 'O1.2', 'O4.3', 'A5.1+++']
16	butter	butter	NN1	['F1']
17	or	or	CC	['Z5']
18	margarine	margarine	NN1	['F1']
19	,	,	,	['PUNCT']
20	and	and	CC	['Z5']
21	then	then	RT	['N4', 'Z5', 'T1.2']
22	beat	beat	VB	['X9.2+/S7.3', 'X9.2+/G3', 'S7.1+', 'E3-', 'A1.1.1', 'A5.1++', 'B1']
23	in	in	II	['Z5']
24	sugar	sugar	NN1	['F1']
25	.	.	.	['PUNCT']
26	Beat	beat	VV0	['X9.2+/S7.3', 'X9.2+/G3', 'S7.1+', 'E3-', 'A1.1.1', 'A5.1++', 'B1']
27	in	in	II	['Z5']
28	eggs	egg	NN2	['L2', 'F1']
29	one	one	PN1	['N1', 'T3', 'T1.2']
30	at	at	II	['T1.1.2']
31	a	a	AT1	['T1.1.2']
32	time	time	NNT1	['T1.1.2']
33	,	,	,	['PUNCT']
34	beating	beat	VBG	['X9.2+/S7.3', 'X9.2+/G3', 'S7.1+', 'E3-', 'A1.1.1', 'A5.1++', 'B1']
35	well	well	RR	['A5.1+', 'A13.3', 'A7+', 'B2+', 'Z4']
36	after	after	CS	['Z5']
37	each	each	DD1	['N6+']
38	addition	addition	NN1	['N6+']
39	.	.	.	['PUNCT']
40	Stir	stir	VB	['A1.1.1', 'M1']
41	in	in	II	['Z5']
42	extract	extract	NN1	['N5-', 'O1', 'Q4.2']
43	.	.	.	['PUNCT']
44	Mix	mix	VB	['A2.1+', 'S1.1.3+', 'K3']
45	in	in	II	['Z5']
46	flour	flour	NN1	['F1']
47	,	,	,	['PUNCT']
48	baking	bake	VBG	['F1']
49	powder	powder	NN1	['F1']
50	,	,	,	['PUNCT']
51	and	and	CC	['Z5']
52	salt	salt	NN1	['F1', 'O1.1']
53	.	.	.	['PUNCT']
54	Stir	stir	VB	['A1.1.1', 'M1']
55	in	in	II	['Z5']
56	raisins	raisin	NN2	['F1']
57	,	,	,	['PUNCT']
58	cherries	cherry	NN2	['F1', 'L3']
59	,	,	,	['PUNCT']
60	pineapple	pineapple	NN1	['L3', 'F1']
61	,	,	,	['PUNCT']
62	and	and	CC	['Z5']
63	mixed	mixed	JJ	['A6.3+', 'S1.1.3+', 'S2']
64	peel	peel	NN1	['F1/L3']
65	.	.	.	['PUNCT']
66	Cover	cover	VV0	['O2', 'A10-', 'Q4.1', 'B5', 'I1.1', 'H5']
67	bowl	bowl	NN1	['O2']
68	and	and	CC	['Z5']
69	let	let	VB	['S7.4+', 'I2.2/H1', 'T2-']
70	sit	sit	VB	['M8', 'C1', 'P1', 'G1.1', 'G2.1', 'M6', 'A9+']
71	at	at	II	['Z5']
72	room	room	NN1	['H2', 'N3.6']
73	temperature	temperature	NN1	['O4.6']
74	,	,	,	['PUNCT']
75	hours	hour	NNT2	['T1.3']
76	to	to	II	['Z5']
77	overnight	overnight	RT	['T1.3', 'N3.8+']
78	.	.	.	['PUNCT']
79	Bake	Bake	VB	['F1', 'O4.6']
80	at	at	II	['Z5']
81	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
82	F	F	ZZ1	['Z5']
83	(	(	(	['PUNCT']
84	degrees	degree	NN2	['A13.1', 'N3.1', 'N3.2', 'N5', 'P1']
85	C	C	ZZ1	['Z5', 'K2', 'P1/A5.1', 'Y2', 'O4.6']
86	)	)	)	['PUNCT']
87	for	for	IF	['Z5']
88	/	/	FO	['Z99']
89	hours	hour	NNT2	['T1.3']
90	with	with	IW	['Z5']
91	a	a	AT1	['Z5']
92	pan	pan	NN1	['O2']
93	of	of	IO	['Z5']
94	hot	hot	JJ	['O4.6+', 'X9.1+', 'O4.2+', 'X5.2+', 'G2.1-', 'A12-', 'S7.3+', 'E6-', 'A7+++']
95	water	water	NN1	['O1.2', 'W3/M4', 'B1', 'C1%']
96	placed	place	VBN	['M2', 'X2.2+', 'I3.1', 'Q2.2']
97	on	on	II	['Z5']
98	the	the	AT	['Z5']
99	lowest	low	JJT	['N3.7---', 'N5---', 'I1.3---', 'A5.1---', 'A11.1---', 'E4.1---', 'X3.2---', 'G2.2---', 'S7.1---']
100	rack	rack	NN1	['O2', 'G2.1/O2', 'F1']
101	of	of	IO	['Z5']
102	your	your	APPGE	['Z8']
103	oven	oven	NN1	['O2/F1']
104	during	during	II	['Z5']
105	baking	bake	NN1	['O4.6+', 'F1']
106	.	.	.	['PUNCT']
107	Brush	brush	VV0	['B4', 'A1.1.1']
108	warm	warm	JJ	['O4.6+', 'O4.2+', 'S1.2.1+']
109	cake	cake	NN1	['F1', 'I1.1']
110	with	with	IW	['Z5']
111	some	some	DD	['N5', 'Z5']
112	melted	melted	VBN	['O4.6+']
113	butter	butter	NN1	['F1']
114	.	.	.	['PUNCT']
1	Sprinkle	sprinkle	VB	['A1.1.1']
2	gelatin	gelatin	NN1	['O1.1/A2.1']
3	over	over	II	['Z5']
4	/	/	FO	['Z99']
5	cup	cup	NN1	['O2', 'S7.3+', 'A5.1+/O2']
6	dark	dark	NN1	['W2-', 'O4.3', 'E4.1-', 'X2.2-', 'O4.2-']
7	rum	rum	NN1	['F2']
8	to	to	TO	['Z5']
9	soften	soften	VB	['O4.5', 'A2.1+', 'S1.2.5-', 'S1.2.1+', 'O4.1']
10	for	for	IF	['Z5']
11	about	about	II	['Z5']
12	minutes	minute	NNT2	['T1.3', 'Q1.2']
13	.	.	.	['PUNCT']
14	Beat	beat	VV0	['X9.2+/S7.3', 'X9.2+/G3', 'S7.1+', 'E3-', 'A1.1.1', 'A5.1++', 'B1']
15	egg	egg	NN1	['L2', 'F1']
16	yolks	yolk	NN2	['T1.3']
17	and	and	CC	['T1.3']
18	sugar	sugar	NN1	['T1.3']
19	with	with	IW	['Z5']
20	an	an	AT1	['Z5']
21	electric	electric	JJ	['O3']
22	mixer	mixer	NN1	['O3', 'S1.1.3+/S2mf', 'F2', 'K3', 'A2.1+/S2mf']
23	until	until	CS	['Z5']
24	the	the	AT	['Z5']
25	egg	egg	NN1	['L2', 'F1']
26	mixture	mixture	NN1	['O1.1', 'A6.3+']
27	falls	fall	VBZ	['M1', 'N5-/A2.1', 'S7.1-', 'L1-', 'A1.8+', 'G2.2-', 'X9.2-', 'K5.2']
28	like	like	II	['Z5']
29	ribbon	ribbon	NN1	['B5', 'O2']
30	off	off	II	['Z5', 'E2-']
31	the	the	AT	['Z5']
32	beaters	beater	NN2	['K5.1/S2mf', 'I3.2/S2mf', 'O2']
33	,	,	,	['PUNCT']
34	to	to	II	['Z5']
35	minutes	minute	NNT2	['T1.3', 'Q1.2']
36	.	.	.	['PUNCT']
37	Continue	continue	VB	['T2++']
38	mixing	mix	VBG	['A2.1+', 'S1.1.3+', 'K3']
39	on	on	II	['Z5']
40	medium-high	medium high	JJ	['N3.2', 'N3.1', 'N3.7+', 'N5+', 'A11.1+', 'S7.1+', 'A5.1+', 'T3-', 'X3.2', 'G2.2+', 'E4.1+', 'I1.3+', 'F3', 'O4.2-', 'O4.6+', 'S9']
43	speed	speed	NN1	['N3.8+', 'F3%']
44	,	,	,	['PUNCT']
45	and	and	CC	['Z5']
46	pour	pour	VB	['A1.1.1/O1.2', 'W4', 'M1/N5+']
47	in	in	II	['Z5']
48	scalded	scalded	VBN	['O4.6+']
49	milk	milk	NN1	['F2', 'O1.2']
50	in	in	II	['Z5']
51	a	a	AT1	['Z5']
52	thin	thin	JJ	['N3.7-', 'B1', 'O4.5', 'N5-', 'A5.1-', 'X3.2%']
53	stream	stream	NN1	['W3/M4', 'N5', 'S5+c', 'P1c']
54	,	,	,	['PUNCT']
55	mixing	mix	VBG	['A2.1+', 'S1.1.3+', 'K3']
56	constantly	constantly	RR	['T2++']
57	.	.	.	['PUNCT']
58	Transfer	transfer	VV0	['M6/A2.1+', 'A9-', 'I3.1/A2.1+', 'Y2', 'M3', 'M4', 'M5']
59	mixture	mixture	NN1	['O1.1', 'A6.3+']
60	into	into	II	['Z5']
61	a	a	AT1	['Z5']
62	saucepan	saucepan	NN1	['O2']
63	.	.	.	['PUNCT']
64	Cook	cook	VB	['F1']
65	over	over	RP	['Z5']
66	medium-low	medium low	JJ	['N3.2', 'N3.1', 'N3.7-', 'N5-', 'A5.1-', 'A11.1-', 'E4.1-', 'X3.2-', 'G2.2-', 'S7.1-']
69	heat	heat	NN1	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
70	,	,	,	['PUNCT']
71	stirring	stir	VBG	['A1.1.1', 'M1']
72	constantly	constantly	RR	['T2++']
73	,	,	,	['PUNCT']
74	until	until	CS	['Z5']
75	the	the	AT	['Z5']
76	custard	custard	NN1	['F1']
77	coats	coat	NN2	['A1.1.1/A10-']
78	a	a	AT1	['Z5']
79	spoon	spoon	NN1	['O2']
80	,	,	,	['PUNCT']
81	about	about	II	['Z5']
82	minutes	minute	NNT2	['T1.3', 'Q1.2']
83	.	.	.	['PUNCT']
84	Do	do	VB	['S1.1.3+', 'A1.1.1']
85	not	not	XX	['Z6']
86	allow	allow	VB	['S7.4+', 'S8+', 'X2.1']
87	to	to	TO	['Z5']
88	boil	boil	VB	['O4.6+', 'E3-']
89	.	.	.	['PUNCT']
90	Take	take	VB	['A9+', 'T1.3', 'C1', 'A1.1.1', 'M2', 'S7.1-', 'A2.1+', 'X2.4', 'S6+', 'S7.4+', 'N3', 'A2.1+', 'P1', 'M1', 'X2.5+', 'F1@', 'F2@', 'Q1.2@', 'B3@']
91	the	the	AT	['Z5']
92	pan	pan	NN1	['O2']
93	off	off	II	['Z5', 'E2-']
94	the	the	AT	['Z5']
95	heat	heat	NN1	['O4.6+', 'E1', 'A1.1.1', 'S7.3']
96	,	,	,	['PUNCT']
97	and	and	CC	['Z5']
98	transfer	transfer	VV0	['M6/A2.1+', 'A9-', 'I3.1/A2.1+', 'Y2', 'M3', 'M4', 'M5']
99	to	to	II	['Z5']
100	a	a	AT1	['Z5']
101	bowl	bowl	NN1	['O2']
102	.	.	.	['PUNCT']
103	Stir	stir	VB	['A1.1.1', 'M1']
104	in	in	II	['Z5']
105	softened	soften	VBN	['O4.5', 'A2.1+', 'S1.2.5-', 'S1.2.1+', 'O4.1']
106	gelatin	gelatin	NN1	['O1.1/A2.1']
107	mixture	mixture	NN1	['T1.3']
108	and	and	CC	['T1.3']
109	vanilla	vanilla	NN1	['T1.3']
110	,	,	,	['PUNCT']
111	stirring	stir	VBG	['A1.1.1', 'M1']
112	until	until	II	['Z5']
113	gelatin	gelatin	NN1	['O1.1/A2.1']
114	is	be	VBZ	['A3+', 'Z5']
115	completely	completely	RR	['A13.2']
116	melted	melt	VBN	['O4.6']
117	.	.	.	['PUNCT']
118	Chill	Chill	NN1	['T1.3']
119	custard	custard	NN1	['T1.3']
120	over	over	II	['Z5']
121	a	a	AT1	['Z5']
122	bowl	bowl	NN1	['O2']
123	of	of	IO	['Z5']
124	ice	ice	NN1	['O1.1']
125	until	until	CS	['Z5']
126	room	room	NN1	['H2', 'N3.6']
127	temperature	temperature	NN1	['O4.6']
128	.	.	.	['PUNCT']
129	Stir	stir	VB	['A1.1.1', 'M1']
130	occasionally	occasionally	RR	['N6-']
131	;	;	;	['PUNCT']
132	do	do	VB	['S1.1.3+', 'A1.1.1']
133	not	not	XX	['Z6']
134	let	let	VB	['S7.4+', 'I2.2/H1', 'T2-']
135	the	the	AT	['Z5']
136	custard	custard	NN1	['F1']
137	set	set	VBN	['M2', 'M6', 'O4.5', 'O4.1', 'W4', 'A1.1.1', 'B3', 'B4', 'X6+', 'S6+', 'K2', 'Q4.3']
138	up	up	RP	['Z5']
139	.	.	.	['PUNCT']
140	Beat	beat	VV0	['X9.2+/S7.3', 'X9.2+/G3', 'S7.1+', 'E3-', 'A1.1.1', 'A5.1++', 'B1']
141	egg	egg	NN1	['F1']
142	whites	white	NN2	['F1']
143	with	with	IW	['Z5']
144	a	a	AT1	['Z5']
145	pinch	pinch	NN1	['E3-', 'N5-', 'A12-']
146	of	of	IO	['Z5']
147	salt	salt	NN1	['F1', 'O1.1']
148	until	until	CS	['Z5']
